run_id,mode,baseline_name,segment_id,segment_name,train.batches,train.mean_batch_acc,train.train.loss,train.train.answer_token_acc,train.num_total_tokens,train.num_supervised_tokens,train.grad_norm,train.lr,train.active_adapter,eval.current_score,eval.seen_avg_score,eval.current_task_aware_score,eval.seen_avg_task_aware_score,eval.forgetting,eval.task_aware_forgetting,eval.num_seen_segments,eval.token_f1_mean,eval.lcs_overlap_mean,eval.rouge_l_mean,eval.bleu_mean,eval.slot_error_rate,eval.matrix.segment_000.accuracy,eval.matrix.segment_000.task_aware_accuracy,eval.matrix.segment_000.forgetting,eval.matrix.segment_000.task_aware_forgetting,eval.anytime_score,eval.anytime_task_aware_score,eval.task_aware_score_mean,routing.num_routed,routing.oracle_agreement_rate,routing.decision_confidence_mean,routing.decision_entropy_mean,routing.oracle_margin_mean,hook.active_adapter,active_adapter,eval.matrix.segment_001.accuracy,eval.matrix.segment_001.task_aware_accuracy,eval.matrix.segment_001.forgetting,eval.matrix.segment_001.task_aware_forgetting
phase1_ours_v0_debug_smoke,debug,sequential_lora,0,toy_weather,2,0.0,0.0,0.0,0,0,0.0,0.0,default,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,default,default,,,,
phase1_ours_v0_debug_smoke,debug,sequential_lora,1,toy_dialog_act,2,0.0,0.0,0.0,0,0,0.0,0.0,default,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.21221291988242888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,default,default,0.0,0.0,0.0,0.0
